"uid","nightuid","namedLocation","domainID","siteID","plotID","collectDate","endDate","samplingProtocolVersion","remarks","dataQF"
"56cbc3a7-6a4b-40a6-bc87-9dd5946a63c7","98b1c50d-8554-44d2-8a5c-162f7fe74353","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2018-05-15","2018-05-15","NEON.DOC.000481vK",NA,NA
"7438d693-0181-4625-b56d-c982817fc169","23c2a116-9b12-43f8-a91a-61709bb5b902","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2018-05-15","2018-05-15","NEON.DOC.000481vK",NA,NA
"4120a468-c47e-4367-a2d4-1d0014700170","5d2a11c4-838a-4c2c-987d-ac03ba27155f","JERC_019.mammalGrid.mam","D03","JERC","JERC_019","2018-05-15","2018-05-15","NEON.DOC.000481vK",NA,NA
"dc6d6384-407c-4efb-ae15-0b1325333e57","3615f1c5-156b-4aa8-adf1-05da77bd4773","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2018-05-15","2018-05-15","NEON.DOC.000481vK",NA,NA
"b63e49d7-7917-41d1-9d1b-8aad79a7f785","f49c5058-9793-41f4-ada1-d6e11fc2e5ef","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2018-05-16","2018-05-16","NEON.DOC.000481vK",NA,NA
"e15d70d4-0403-45f7-843a-ed5bbcae0e85","2908e141-505c-45d2-83cc-8cb05f8b20b9","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2018-05-16","2018-05-16","NEON.DOC.000481vK",NA,NA
"cd6fc89a-0a58-404e-9d82-7b55f28891c3","51431c59-e508-45e4-9657-82e17300e026","JERC_002.mammalGrid.mam","D03","JERC","JERC_002","2018-05-16","2018-05-16","NEON.DOC.000481vK",NA,NA
"90f7c8ec-8a8d-46f6-8ec1-5212d1b0401c","f39f7b03-bc73-4ec5-bdaf-1d5174849ca4","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2018-05-16","2018-05-16","NEON.DOC.000481vK",NA,NA
"fecd53c9-067e-4523-b899-075ca3d0bde4","a208ac49-151f-45c9-9dfc-d04fac5b7b50","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2018-05-17","2018-05-17","NEON.DOC.000481vK",NA,NA
"66d0b556-6283-4c2c-9fbc-da52ae030b06","cf72fbbc-7f84-4f4e-856e-54e2d4725e58","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2018-05-17","2018-05-17","NEON.DOC.000481vK",NA,NA
